Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2023,311,2.62,20.32,21.94,410.57,71.12,4.86,0.85,94.28,02.03
2023,312,2.67,18.49,21.17,391.43,60.62,4.18,01.02,94.37,1.68
2023,313,2.49,18.15,21.55,366.88,60.5,4.49,0.58,94.37,1.73
2023,314,2.4,16.71,22.01,372.51,52.06,4.2,0.76,94.25,1.16
2023,315,2.3,15.42,21.66,384.66,48.25,4.27,0.95,94.17,0.77
2023,316,1.86,14.11,19.76,374.55,44.75,3.73,0.8,94.13,02.09
2023,317,1.83,12.39,19.94,367.34,39.88,04.08,1.0,94.1,2.62
2023,318,1.93,12.74,21.38,384.52,35.62,4.23,0.69,94.03,2.67
2023,319,1.75,13.93,22.01,392.39,38.5,3.88,0.95,93.96,2.49
2023,320,1.39,17.08,24.01,414.02,45.88,3.7,0.62,93.93,2.4
2023,321,1.49,20.63,25.06,429.77,61.12,3.11,0.45,94.06,2.3
2023,322,1.18,20.27,23.73,438.76,58.25,2.23,0.52,94.1,1.86
2023,323,1.13,19.53,25.7,430.05,52.56,1.91,0.39,94.12,1.83
2023,324,1.48,19.15,23.29,424.47,57.19,1.99,0.81,94.07,1.93
2023,325,1.92,19.23,23.24,422.34,58.25,3.5,0.62,94.07,1.75
2023,326,02.05,18.38,22.95,410.18,56.5,3.84,0.66,94.05,1.39
2023,327,2.23,17.24,23.05,379.45,50.81,4.7,0.63,94.19,1.49
2023,328,1.52,17.62,23.44,410.56,51.12,2.26,0.86,94.33,1.18
2023,329,1.42,16.75,24.57,416.2,45.69,2.66,0.55,94.17,1.13
2023,330,03.05,16.15,24.72,416.83,44.62,4.61,0.93,94.15,1.48
2023,331,2.6,14.35,23.93,403.58,43.31,4.59,01.08,94.32,1.92
2023,332,2.12,8.94,19.66,369.73,30.88,04.02,0.99,94.3,02.05
2023,333,1.97,13.08,21.23,392.37,37.81,3.78,0.83,94.14,2.23
2023,334,1.86,13.26,23.97,415.52,34.75,3.98,0.5,94.1,1.52
2023,335,1.41,11.37,25.94,414.77,28.62,3.27,0.12,94.07,1.42
2023,336,1.7,12.12,25.87,421.26,30.06,3.3,0.73,94.05,03.05
2023,337,1.53,16.44,26.69,428.55,42.88,2.95,0.57,94.07,2.6
2023,338,1.62,17.57,25.56,430.0,48.19,2.96,0.25,94.24,2.12
2023,339,1.75,18.61,22.84,418.37,55.19,2.4,0.64,94.29,1.97
2023,340,1.72,16.5,25.7,396.66,45.81,3.26,0.49,94.13,1.86
2023,341,2.44,11.43,22.4,381.27,37.0,4.59,01.09,94.15,1.41
2023,342,1.69,12.87,22.73,406.07,36.44,4.44,0.6,94.15,1.7
2023,343,1.28,14.27,26.49,419.2,34.81,2.73,0.6,94.03,1.53
2023,344,2.12,16.6,25.43,433.2,41.75,4.78,0.47,93.97,1.62
2023,345,2.52,15.66,26.04,421.01,40.44,5.38,0.19,94.04,1.75
2023,346,1.91,16.95,24.03,414.71,47.69,3.85,0.36,94.15,1.72
2023,347,2.16,15.09,25.94,408.34,38.19,4.58,0.69,94.0,2.44
2023,348,2.89,9.46,23.68,355.33,29.06,05.08,0.99,93.98,1.69
2023,349,2.88,10.09,22.03,362.88,32.56,05.09,1.17,94.07,1.28
2023,350,2.59,10.67,21.87,376.18,32.38,4.65,01.07,94.12,2.12
2023,351,1.89,12.28,22.36,405.7,33.81,4.31,0.37,94.01,2.52
2023,352,1.62,15.0,25.44,416.12,38.94,3.96,0.17,93.92,1.91
2023,353,1.76,17.61,23.17,426.47,52.06,2.98,0.7,93.91,2.16
2023,354,2.34,19.55,23.55,416.2,63.06,3.92,01.03,94.03,2.89
2023,355,2.45,21.05,22.34,424.9,82.62,3.98,0.92,94.34,2.88
2023,356,2.1,20.28,21.3,427.04,74.94,04.08,0.51,94.41,2.59
2023,357,1.34,18.32,22.15,419.32,56.81,2.81,0.09,94.32,1.89
2023,358,1.98,18.69,21.99,421.4,57.0,3.78,0.65,94.29,1.62
2023,359,1.99,17.99,24.53,406.7,49.69,3.6,0.47,94.25,1.76
2023,360,1.69,16.26,21.48,389.05,46.5,3.77,0.52,94.27,2.34
2023,361,1.87,17.55,25.31,407.16,46.0,3.31,0.73,94.18,2.45
2023,362,02.06,18.44,24.55,423.81,53.44,3.27,0.67,94.2,2.1
2023,363,2.29,18.73,24.73,429.28,52.06,4.26,0.84,94.19,1.34
2023,364,1.13,20.7,23.25,436.23,66.25,2.24,0.35,94.22,1.98
2023,365,02.05,21.03,22.55,429.28,74.12,3.16,0.54,94.21,1.99
2024,1,01.05,20.95,22.12,437.09,72.44,1.48,0.63,94.2,1.69
2024,2,1.56,21.74,22.25,436.18,83.62,2.84,0.73,94.17,1.87
2024,3,1.73,21.65,20.92,436.16,83.06,2.69,0.71,94.21,02.06
2024,4,1.73,21.94,21.58,435.96,82.88,2.92,0.7,94.25,2.29
2024,5,1.53,22.12,22.16,435.42,88.81,03.06,0.52,94.24,1.13
2024,6,1.88,21.61,21.4,433.02,79.88,3.59,0.63,94.22,02.05
2024,7,1.18,21.8,21.41,413.34,77.81,2.1,0.64,94.22,01.05
2024,8,1.45,22.37,22.51,412.85,85.88,2.68,0.49,94.25,1.56
2024,9,1.77,21.33,21.21,399.96,78.44,3.53,0.1,94.3,1.73
2024,10,1.52,20.53,22.0,408.27,70.75,3.2,0.21,94.25,1.73
2024,11,1.39,20.76,22.04,409.01,72.62,2.25,0.63,94.24,1.53
2024,12,1.53,20.49,21.46,399.46,68.25,2.59,0.23,94.12,1.88
